feedback_id,employee_id,department,feedback_date,feedback_text,rating,sentiment
FB101,EMP101,Operations,2024-10-19,"Just doing my daily tasks, things are normal.",3,Neutral
FB102,EMP102,Customer Support,2025-05-17,Collaborative environment and friendly colleagues.,4,Positive
FB103,EMP103,Operations,2025-02-19,Collaborative environment and friendly colleagues.,5,Positive
FB104,EMP104,HR,2025-01-30,Lack of career progression and training.,2,Negative
FB105,EMP105,Engineering,2025-08-19,"Management is alright, some good days and bad days.",3,Neutral
FB106,EMP106,Sales,2025-02-11,Lack of career progression and training.,2,Negative
FB107,EMP107,Sales,2024-10-09,"I really enjoy working here, the team is great.",4,Positive
FB108,EMP108,IT,2025-07-15,The compensation is below market average.,1,Negative
FB109,EMP109,Customer Support,2024-09-27,Average workplace experience overall.,3,Neutral
FB110,EMP110,Customer Support,2025-03-17,"It's a standard job, nothing special to report.",3,Neutral
FB111,EMP111,Finance,2024-03-30,Lack of career progression and training.,2,Negative
FB112,EMP112,HR,2024-12-05,Management doesn't listen to our concerns.,2,Negative
FB113,EMP113,Engineering,2025-09-21,The compensation is below market average.,2,Negative
FB114,EMP114,HR,2024-04-18,I feel very appreciated by my manager.,5,Positive
FB115,EMP115,Engineering,2024-01-28,The tools we use are outdated and slow.,2,Negative
FB116,EMP116,Customer Support,2024-04-26,"The benefits are fine, but could be better.",3,Neutral
FB117,EMP117,Engineering,2024-11-02,I feel very appreciated by my manager.,4,Positive
FB118,EMP118,IT,2024-11-23,I love the culture and the projects I am working on.,5,Positive
FB119,EMP119,Customer Support,2024-06-21,I feel very appreciated by my manager.,4,Positive
FB120,EMP120,Marketing,2025-08-10,The new training program was very helpful.,4,Positive
FB121,EMP121,HR,2025-03-29,"I really enjoy working here, the team is great.",4,Positive
FB122,EMP122,Engineering,2025-11-02,I feel very appreciated by my manager.,4,Positive
FB123,EMP123,Sales,2024-04-14,Amazing opportunities for growth and learning.,4,Positive
FB124,EMP124,Engineering,2025-04-11,Great work-life balance and excellent benefits.,5,Positive
FB125,EMP125,Sales,2025-11-10,Average workplace experience overall.,3,Neutral
FB126,EMP126,IT,2024-07-26,Collaborative environment and friendly colleagues.,4,Positive
FB127,EMP127,HR,2024-01-09,"Just doing my daily tasks, things are normal.",3,Neutral
FB128,EMP128,Sales,2024-10-07,I feel very appreciated by my manager.,5,Positive
FB129,EMP129,Operations,2024-07-11,"The work is okay, typical corporate environment.",3,Neutral
FB130,EMP130,Customer Support,2025-11-20,The office environment is adequate.,3,Neutral
FB131,EMP131,Marketing,2024-04-10,"I really enjoy working here, the team is great.",5,Positive
FB132,EMP132,IT,2024-03-12,"Just doing my daily tasks, things are normal.",3,Neutral
FB133,EMP133,Sales,2024-07-13,The workload is too heavy and I feel burned out.,2,Negative
FB134,EMP134,Operations,2025-05-31,The tools we use are outdated and slow.,1,Negative
FB135,EMP135,HR,2025-03-31,I feel very appreciated by my manager.,4,Positive
FB136,EMP136,Customer Support,2024-11-27,The new training program was very helpful.,4,Positive
FB137,EMP137,Customer Support,2024-01-08,"The benefits are fine, but could be better.",3,Neutral
FB138,EMP138,Finance,2025-07-31,The management is very supportive and I feel valued.,5,Positive
FB139,EMP139,Engineering,2024-07-14,Amazing opportunities for growth and learning.,4,Positive
FB140,EMP140,IT,2024-03-15,Management doesn't listen to our concerns.,1,Negative
FB141,EMP141,Finance,2025-10-13,"Just doing my daily tasks, things are normal.",3,Neutral
FB142,EMP142,HR,2024-01-03,"I really enjoy working here, the team is great.",4,Positive
FB143,EMP143,Marketing,2025-02-24,"Poor work-life balance, too much overtime required.",1,Negative
FB144,EMP144,IT,2024-04-17,The compensation is below market average.,1,Negative
FB145,EMP145,Engineering,2025-05-08,"The benefits are fine, but could be better.",3,Neutral
FB146,EMP146,HR,2024-08-19,The new training program was very helpful.,4,Positive
FB147,EMP147,Marketing,2024-12-15,The workload is too heavy and I feel burned out.,2,Negative
FB148,EMP148,Finance,2025-12-20,The new training program was very helpful.,4,Positive
FB149,EMP149,Marketing,2024-12-19,The compensation is below market average.,2,Negative
FB150,EMP150,HR,2025-11-11,Communication from leadership is very poor.,2,Negative
FB151,EMP151,HR,2025-09-25,The new training program was very helpful.,4,Positive
FB152,EMP152,IT,2025-09-23,Management doesn't listen to our concerns.,1,Negative
FB153,EMP153,Sales,2025-05-16,The tools we use are outdated and slow.,1,Negative
FB154,EMP154,HR,2024-05-05,The workload is too heavy and I feel burned out.,2,Negative
FB155,EMP155,Customer Support,2025-05-04,The workload is too heavy and I feel burned out.,1,Negative
FB156,EMP156,Customer Support,2025-05-03,Average workplace experience overall.,3,Neutral
FB157,EMP157,Marketing,2025-03-28,The new training program was very helpful.,5,Positive
FB158,EMP158,Customer Support,2024-06-09,Amazing opportunities for growth and learning.,5,Positive
FB159,EMP159,Operations,2024-04-26,"Management is alright, some good days and bad days.",3,Neutral
FB160,EMP160,HR,2025-03-15,"Management is alright, some good days and bad days.",3,Neutral
FB161,EMP161,Engineering,2025-01-26,"The benefits are fine, but could be better.",3,Neutral
FB162,EMP162,HR,2024-10-22,"I really enjoy working here, the team is great.",5,Positive
FB163,EMP163,Engineering,2024-03-01,"Management is alright, some good days and bad days.",3,Neutral
FB164,EMP164,Marketing,2024-03-21,"Management is alright, some good days and bad days.",3,Neutral
FB165,EMP165,Operations,2025-02-02,Amazing opportunities for growth and learning.,5,Positive
FB166,EMP166,Sales,2024-07-01,The compensation is below market average.,1,Negative
FB167,EMP167,IT,2024-11-24,The management is very supportive and I feel valued.,4,Positive
FB168,EMP168,Customer Support,2025-07-31,Management doesn't listen to our concerns.,2,Negative
FB169,EMP169,Operations,2024-12-16,Communication from leadership is very poor.,2,Negative
FB170,EMP170,HR,2024-07-19,The compensation is below market average.,2,Negative
FB171,EMP171,IT,2024-09-18,"Management is alright, some good days and bad days.",3,Neutral
FB172,EMP172,Marketing,2025-01-03,The new training program was very helpful.,5,Positive
FB173,EMP173,Operations,2024-10-02,The tools we use are outdated and slow.,1,Negative
FB174,EMP174,Finance,2025-04-10,Great work-life balance and excellent benefits.,5,Positive
FB175,EMP175,Sales,2025-09-18,Great work-life balance and excellent benefits.,4,Positive
FB176,EMP176,Finance,2025-04-29,I don't feel valued for the work I do.,2,Negative
FB177,EMP177,Marketing,2024-05-22,"I really enjoy working here, the team is great.",5,Positive
FB178,EMP178,Engineering,2025-06-30,The tools we use are outdated and slow.,2,Negative
FB179,EMP179,Sales,2025-11-23,"The work is okay, typical corporate environment.",3,Neutral
FB180,EMP180,Marketing,2024-02-01,"Just doing my daily tasks, things are normal.",3,Neutral
FB181,EMP181,Finance,2025-05-28,The tools we use are outdated and slow.,1,Negative
FB182,EMP182,HR,2025-09-03,"Steady work, but not very exciting.",3,Neutral
FB183,EMP183,Customer Support,2024-07-18,"Poor work-life balance, too much overtime required.",2,Negative
FB184,EMP184,HR,2025-05-21,The tools we use are outdated and slow.,1,Negative
FB185,EMP185,Marketing,2024-06-07,Collaborative environment and friendly colleagues.,4,Positive
FB186,EMP186,Customer Support,2024-11-24,Amazing opportunities for growth and learning.,5,Positive
FB187,EMP187,IT,2025-08-12,Great work-life balance and excellent benefits.,5,Positive
FB188,EMP188,Operations,2024-12-22,The tools we use are outdated and slow.,1,Negative
FB189,EMP189,Finance,2025-03-15,"Poor work-life balance, too much overtime required.",1,Negative
FB190,EMP190,Customer Support,2024-04-19,The office environment is adequate.,3,Neutral
FB191,EMP191,Engineering,2025-02-05,"It's a standard job, nothing special to report.",3,Neutral
FB192,EMP192,Marketing,2025-07-01,The office environment is adequate.,3,Neutral
FB193,EMP193,Operations,2025-09-04,Communication from leadership is very poor.,1,Negative
FB194,EMP194,HR,2025-07-29,"It's a standard job, nothing special to report.",3,Neutral
FB195,EMP195,Marketing,2024-07-24,The new training program was very helpful.,4,Positive
FB196,EMP196,Sales,2025-05-23,The workload is too heavy and I feel burned out.,1,Negative
FB197,EMP197,HR,2025-11-16,Collaborative environment and friendly colleagues.,4,Positive
FB198,EMP198,HR,2024-11-19,The management is very supportive and I feel valued.,5,Positive
FB199,EMP199,IT,2024-01-18,Collaborative environment and friendly colleagues.,4,Positive
FB200,EMP200,Finance,2024-04-18,Communication from leadership is very poor.,2,Negative
FB201,EMP201,Operations,2024-11-09,"The work is okay, typical corporate environment.",3,Neutral
FB202,EMP202,HR,2025-07-20,Communication from leadership is very poor.,2,Negative
FB203,EMP203,Operations,2024-05-07,"I really enjoy working here, the team is great.",5,Positive
FB204,EMP204,Customer Support,2025-11-20,"The benefits are fine, but could be better.",3,Neutral
FB205,EMP205,Marketing,2024-02-17,Great work-life balance and excellent benefits.,5,Positive
FB206,EMP206,Sales,2024-06-22,Amazing opportunities for growth and learning.,4,Positive
FB207,EMP207,IT,2025-05-24,I love the culture and the projects I am working on.,4,Positive
FB208,EMP208,Sales,2024-01-29,The new training program was very helpful.,5,Positive
FB209,EMP209,Marketing,2025-11-29,Average workplace experience overall.,3,Neutral
FB210,EMP210,Finance,2024-09-01,Lack of career progression and training.,1,Negative
FB211,EMP211,Marketing,2025-02-10,"Steady work, but not very exciting.",3,Neutral
FB212,EMP212,Marketing,2024-10-10,Amazing opportunities for growth and learning.,5,Positive
FB213,EMP213,Operations,2025-02-19,"Just doing my daily tasks, things are normal.",3,Neutral
FB214,EMP214,Operations,2024-12-26,Management doesn't listen to our concerns.,2,Negative
FB215,EMP215,Operations,2025-12-19,I don't feel valued for the work I do.,1,Negative
FB216,EMP216,Finance,2025-05-02,The new training program was very helpful.,5,Positive
FB217,EMP217,Finance,2025-02-11,"It's a standard job, nothing special to report.",3,Neutral
FB218,EMP218,Engineering,2024-03-10,The management is very supportive and I feel valued.,5,Positive
FB219,EMP219,Customer Support,2025-10-06,"Steady work, but not very exciting.",3,Neutral
FB220,EMP220,Sales,2024-02-14,Lack of career progression and training.,2,Negative
FB221,EMP221,Finance,2025-01-03,"Just doing my daily tasks, things are normal.",3,Neutral
FB222,EMP222,Sales,2024-05-23,"Steady work, but not very exciting.",3,Neutral
FB223,EMP223,Sales,2025-05-25,Communication from leadership is very poor.,2,Negative
FB224,EMP224,Operations,2024-06-26,"It's a standard job, nothing special to report.",3,Neutral
FB225,EMP225,Marketing,2024-07-13,"Just doing my daily tasks, things are normal.",3,Neutral
FB226,EMP226,HR,2025-11-30,The compensation is below market average.,2,Negative
FB227,EMP227,IT,2025-05-25,I don't feel valued for the work I do.,2,Negative
FB228,EMP228,Finance,2024-12-19,I don't feel valued for the work I do.,2,Negative
FB229,EMP229,Operations,2024-11-13,"The work is okay, typical corporate environment.",3,Neutral
FB230,EMP230,Sales,2024-07-20,The new training program was very helpful.,5,Positive
FB231,EMP231,Engineering,2024-11-28,The workload is too heavy and I feel burned out.,1,Negative
FB232,EMP232,HR,2024-11-09,The compensation is below market average.,2,Negative
FB233,EMP233,HR,2025-04-28,Average workplace experience overall.,3,Neutral
FB234,EMP234,Sales,2025-05-08,"It's a standard job, nothing special to report.",3,Neutral
FB235,EMP235,HR,2025-07-22,"Management is alright, some good days and bad days.",3,Neutral
FB236,EMP236,Customer Support,2025-12-01,I love the culture and the projects I am working on.,4,Positive
FB237,EMP237,HR,2024-02-27,The management is very supportive and I feel valued.,4,Positive
FB238,EMP238,Operations,2024-05-01,Great work-life balance and excellent benefits.,4,Positive
FB239,EMP239,IT,2024-11-22,The office environment is adequate.,3,Neutral
FB240,EMP240,Customer Support,2024-06-25,The tools we use are outdated and slow.,2,Negative
FB241,EMP241,HR,2025-03-17,The compensation is below market average.,1,Negative
FB242,EMP242,Finance,2025-11-03,I love the culture and the projects I am working on.,4,Positive
FB243,EMP243,Finance,2024-01-12,Collaborative environment and friendly colleagues.,4,Positive
FB244,EMP244,HR,2025-05-16,"The benefits are fine, but could be better.",3,Neutral
FB245,EMP245,Engineering,2024-10-30,"Just doing my daily tasks, things are normal.",3,Neutral
FB246,EMP246,Customer Support,2025-06-30,The tools we use are outdated and slow.,2,Negative
FB247,EMP247,Finance,2025-01-29,Amazing opportunities for growth and learning.,4,Positive
FB248,EMP248,Customer Support,2025-08-02,Great work-life balance and excellent benefits.,4,Positive
FB249,EMP249,Finance,2025-09-27,The new training program was very helpful.,4,Positive
FB250,EMP250,Sales,2024-08-09,"Poor work-life balance, too much overtime required.",2,Negative
FB251,EMP251,IT,2024-12-10,I don't feel valued for the work I do.,2,Negative
FB252,EMP252,Sales,2025-06-10,Great work-life balance and excellent benefits.,5,Positive
FB253,EMP253,Operations,2025-06-18,"The benefits are fine, but could be better.",3,Neutral
FB254,EMP254,Operations,2024-07-11,Average workplace experience overall.,3,Neutral
FB255,EMP255,Customer Support,2025-08-07,Average workplace experience overall.,3,Neutral
FB256,EMP256,Finance,2025-05-11,"Just doing my daily tasks, things are normal.",3,Neutral
FB257,EMP257,HR,2025-07-19,Great work-life balance and excellent benefits.,4,Positive
FB258,EMP258,HR,2024-09-29,The new training program was very helpful.,4,Positive
FB259,EMP259,Customer Support,2025-04-03,The workload is too heavy and I feel burned out.,1,Negative
FB260,EMP260,Sales,2025-09-05,I love the culture and the projects I am working on.,4,Positive
FB261,EMP261,Finance,2024-04-24,"I really enjoy working here, the team is great.",4,Positive
FB262,EMP262,Operations,2025-12-29,Amazing opportunities for growth and learning.,4,Positive
FB263,EMP263,Sales,2025-12-01,Management doesn't listen to our concerns.,2,Negative
FB264,EMP264,Sales,2025-02-17,"Just doing my daily tasks, things are normal.",3,Neutral
FB265,EMP265,Operations,2025-02-13,"Just doing my daily tasks, things are normal.",3,Neutral
FB266,EMP266,Operations,2024-11-26,Great work-life balance and excellent benefits.,5,Positive
FB267,EMP267,Operations,2025-08-07,Amazing opportunities for growth and learning.,4,Positive
FB268,EMP268,Customer Support,2025-10-19,I love the culture and the projects I am working on.,5,Positive
FB269,EMP269,HR,2024-03-23,Collaborative environment and friendly colleagues.,4,Positive
FB270,EMP270,Finance,2024-10-17,"The benefits are fine, but could be better.",3,Neutral
FB271,EMP271,HR,2024-11-04,"I really enjoy working here, the team is great.",5,Positive
FB272,EMP272,Engineering,2024-09-22,The new training program was very helpful.,5,Positive
FB273,EMP273,Operations,2024-12-27,The management is very supportive and I feel valued.,5,Positive
FB274,EMP274,Operations,2024-01-18,"Management is alright, some good days and bad days.",3,Neutral
FB275,EMP275,IT,2024-08-19,The new training program was very helpful.,4,Positive
FB276,EMP276,Marketing,2024-07-02,The tools we use are outdated and slow.,1,Negative
FB277,EMP277,HR,2025-12-28,Average workplace experience overall.,3,Neutral
FB278,EMP278,Marketing,2024-07-19,The new training program was very helpful.,5,Positive
FB279,EMP279,Marketing,2024-05-06,Management doesn't listen to our concerns.,1,Negative
FB280,EMP280,HR,2024-06-01,"Just doing my daily tasks, things are normal.",3,Neutral
FB281,EMP281,IT,2024-09-26,Management doesn't listen to our concerns.,1,Negative
FB282,EMP282,Engineering,2025-10-11,"The work is okay, typical corporate environment.",3,Neutral
FB283,EMP283,IT,2025-06-06,I feel very appreciated by my manager.,5,Positive
FB284,EMP284,Engineering,2025-10-20,The compensation is below market average.,1,Negative
FB285,EMP285,IT,2025-08-02,"The benefits are fine, but could be better.",3,Neutral
FB286,EMP286,Operations,2024-04-25,Great work-life balance and excellent benefits.,5,Positive
FB287,EMP287,Engineering,2024-09-18,"Poor work-life balance, too much overtime required.",1,Negative
FB288,EMP288,Finance,2024-06-11,Average workplace experience overall.,3,Neutral
FB289,EMP289,Sales,2025-05-15,Average workplace experience overall.,3,Neutral
FB290,EMP290,Customer Support,2024-09-27,Collaborative environment and friendly colleagues.,5,Positive
FB291,EMP291,Engineering,2024-05-11,"Just doing my daily tasks, things are normal.",3,Neutral
FB292,EMP292,Customer Support,2025-11-27,The compensation is below market average.,1,Negative
FB293,EMP293,Marketing,2024-12-02,"Steady work, but not very exciting.",3,Neutral
FB294,EMP294,Customer Support,2025-06-01,The workload is too heavy and I feel burned out.,2,Negative
FB295,EMP295,Engineering,2025-07-31,I feel very appreciated by my manager.,5,Positive
FB296,EMP296,Engineering,2024-04-15,I don't feel valued for the work I do.,1,Negative
FB297,EMP297,IT,2025-01-03,Collaborative environment and friendly colleagues.,4,Positive
FB298,EMP298,IT,2025-09-07,"Just doing my daily tasks, things are normal.",3,Neutral
FB299,EMP299,Operations,2025-01-24,The office environment is adequate.,3,Neutral
FB300,EMP300,Finance,2024-11-24,"I really enjoy working here, the team is great.",4,Positive
FB301,EMP301,Engineering,2024-11-02,"Steady work, but not very exciting.",3,Neutral
FB302,EMP302,IT,2024-12-04,"I really enjoy working here, the team is great.",5,Positive
FB303,EMP303,HR,2025-11-26,Communication from leadership is very poor.,1,Negative
FB304,EMP304,Engineering,2025-07-09,Amazing opportunities for growth and learning.,4,Positive
FB305,EMP305,Operations,2024-06-03,"Management is alright, some good days and bad days.",3,Neutral
FB306,EMP306,Operations,2025-05-08,Management doesn't listen to our concerns.,1,Negative
FB307,EMP307,Sales,2024-08-10,Collaborative environment and friendly colleagues.,5,Positive
FB308,EMP308,HR,2025-04-14,"I really enjoy working here, the team is great.",4,Positive
FB309,EMP309,Finance,2025-12-19,I don't feel valued for the work I do.,2,Negative
FB310,EMP310,Engineering,2024-07-07,"I really enjoy working here, the team is great.",5,Positive
FB311,EMP311,Sales,2024-01-24,Average workplace experience overall.,3,Neutral
FB312,EMP312,Engineering,2024-09-21,The office environment is adequate.,3,Neutral
